revision_id,revision_timestamp,building_id,forward_patch,reverse_patch,user
275041,2023-07-04 17:00:02+02,41653,"{""building_attachment_form"": ""freistehend""}","{""building_attachment_form"": null}",blaumiau
275042,2023-07-04 17:00:04+02,43290,"{""building_attachment_form"": ""freistehend""}","{""building_attachment_form"": null}",blaumiau
275043,2023-07-04 17:00:05+02,42995,"{""building_attachment_form"": ""freistehend""}","{""building_attachment_form"": null}",blaumiau
275044,2023-07-04 17:00:06+02,42236,"{""building_attachment_form"": ""freistehend""}","{""building_attachment_form"": null}",blaumiau
275045,2023-07-04 17:00:07+02,43931,"{""building_attachment_form"": ""freistehend""}","{""building_attachment_form"": null}",blaumiau
275046,2023-07-04 17:00:15+02,42069,"{""building_attachment_form"": ""freistehend""}","{""building_attachment_form"": null}",blaumiau
275047,2023-07-04 17:00:41+02,61167,"{""building_attachment_form"": ""freistehend""}","{""building_attachment_form"": null}",blaumiau
275048,2023-07-04 17:00:48+02,61873,"{""building_attachment_form"": ""freistehend""}","{""building_attachment_form"": null}",blaumiau
275049,2023-07-04 17:00:51+02,63419,"{""building_attachment_form"": ""freistehend""}","{""building_attachment_form"": null}",blaumiau
275050,2023-07-04 17:01:28+02,61998,"{""building_attachment_form"": ""freistehend""}","{""building_attachment_form"": null}",blaumiau
275051,2023-07-04 19:01:12+02,62429,"{""building_attachment_form"": ""freistehend""}","{""building_attachment_form"": null}",jugendstil_gesucht
275052,2023-07-04 19:01:17+02,61754,"{""building_attachment_form"": ""freistehend""}","{""building_attachment_form"": null}",jugendstil_gesucht
275053,2023-07-04 19:01:18+02,62659,"{""building_attachment_form"": ""freistehend""}","{""building_attachment_form"": null}",jugendstil_gesucht
275054,2023-07-04 19:01:25+02,62516,"{""building_attachment_form"": ""freistehend""}","{""building_attachment_form"": null}",jugendstil_gesucht
275055,2023-07-04 19:01:26+02,62578,"{""building_attachment_form"": ""freistehend""}","{""building_attachment_form"": null}",jugendstil_gesucht
275056,2023-07-04 19:01:27+02,63591,"{""building_attachment_form"": ""freistehend""}","{""building_attachment_form"": null}",jugendstil_gesucht
275057,2023-07-04 19:01:28+02,61159,"{""building_attachment_form"": ""freistehend""}","{""building_attachment_form"": null}",jugendstil_gesucht
275058,2023-07-04 19:01:29+02,62115,"{""building_attachment_form"": ""freistehend""}","{""building_attachment_form"": null}",jugendstil_gesucht
274997,2023-07-04 00:18:41+02,42825,"{""building_attachment_form"": ""Häuserreihe (innerhalb)""}","{""building_attachment_form"": null}",jugendstil_gesucht
274960,2023-07-04 00:17:45+02,43488,"{""building_attachment_form"": ""freistehend""}","{""building_attachment_form"": null}",jugendstil_gesucht
274961,2023-07-04 00:17:49+02,43227,"{""building_attachment_form"": ""freistehend""}","{""building_attachment_form"": null}",jugendstil_gesucht
274962,2023-07-04 00:18:05+02,44262,"{""building_attachment_form"": ""freistehend""}","{""building_attachment_form"": null}",jugendstil_gesucht
274963,2023-07-04 00:18:08+02,42706,"{""building_attachment_form"": ""freistehend""}","{""building_attachment_form"": null}",jugendstil_gesucht
274964,2023-07-04 00:18:15+02,61388,"{""building_attachment_form"": ""Häuserreihe (innerhalb)""}","{""building_attachment_form"": null}",jugendstil_gesucht
274965,2023-07-04 00:18:19+02,61655,"{""building_attachment_form"": ""Häuserreihe (innerhalb)""}","{""building_attachment_form"": null}",jugendstil_gesucht
274966,2023-07-04 00:18:20+02,62419,"{""building_attachment_form"": ""Häuserreihe (innerhalb)""}","{""building_attachment_form"": null}",jugendstil_gesucht
274967,2023-07-04 00:18:21+02,63532,"{""building_attachment_form"": ""Häuserreihe (innerhalb)""}","{""building_attachment_form"": null}",jugendstil_gesucht
274968,2023-07-04 00:18:21+02,61510,"{""building_attachment_form"": ""Häuserreihe (innerhalb)""}","{""building_attachment_form"": null}",jugendstil_gesucht
274969,2023-07-04 00:18:22+02,62038,"{""building_attachment_form"": ""Häuserreihe (innerhalb)""}","{""building_attachment_form"": null}",jugendstil_gesucht
274970,2023-07-04 00:18:22+02,62486,"{""building_attachment_form"": ""Häuserreihe (innerhalb)""}","{""building_attachment_form"": null}",jugendstil_gesucht
